tank_id,dmg,frg,spo,def,win,battles,type,tier,tag
1441,496.720,0.895,1.076,0.850,54.806,13970829,mediumTank,5,It11_P43
1537,402.677,1.020,1.215,0.998,55.595,86456658,mediumTank,4,R06_T-28
1553,747.857,1.056,0.727,1.258,53.587,98582047,AT-SPG,6,G17_JagdPzIV
1569,934.487,0.917,1.576,1.032,54.259,82766949,mediumTank,7,A07_T20
1585,1056.856,0.820,1.476,0.952,52.136,29335822,mediumTank,8,Ch05_T34_2
1601,253.980,1.313,0.917,2.121,57.150,574562,lightTank,2,F02_D1
1617,383.498,1.025,0.874,1.119,54.876,973625,mediumTank,4,GB17_Grant_I
1633,380.683,0.991,1.244,1.154,55.941,6395910,mediumTank,4,J09_Chi_He
1649,909.017,0.870,1.225,0.871,53.083,107767044,mediumTank,7,Cz05_T34_100
1665,914.811,0.883,1.292,0.767,52.934,98772242,mediumTank,7,S13_Leo
1681,324.925,1.018,1.179,1.212,54.898,952335,lightTank,3,Pl06_10TP
1697,759.504,0.975,1.020,0.693,53.362,66543427,mediumTank,6,It10_P43_bis
1793,1141.522,0.915,0.042,0.790,50.675,165006556,SPG,7,R15_S-51
1809,473.447,1.406,0.612,1.202,56.240,97077918,AT-SPG,4,G09_Hetzer
1825,267.101,1.479,2.445,1.517,56.998,55032755,lightTank,2,A02_M2_lt
1841,1430.157,0.873,1.369,0.726,51.577,68099160,mediumTank,9,Ch18_WZ-120
1889,725.183,0.952,1.061,1.133,52.518,54732451,mediumTank,6,J10_Chi_To
1905,1066.578,0.788,1.044,0.944,51.834,28280456,mediumTank,8,Cz07_TVP_46
1921,1329.674,0.936,0.805,0.659,51.851,137712766,heavyTank,8,S18_EMIL_1951_E1
1937,340.310,0.738,1.496,0.944,53.445,1403382,lightTank,4,Pl07_14TP
1953,921.557,0.930,1.305,0.713,53.449,60472190,mediumTank,7,It09_P43_ter
2049,327.261,0.790,2.446,1.070,55.289,8088522,lightTank,5,R12_A-20
2065,252.014,1.389,1.678,1.632,57.333,43599315,lightTank,2,G06_PzII
2081,228.404,1.248,0.394,1.886,54.357,14582446,SPG,2,A107_T1_HMC
2097,1569.658,0.846,1.235,0.530,51.449,127190904,heavyTank,9,Ch12_111_1_2_3
2113,690.021,1.311,0.107,1.253,54.309,110798727,SPG,5,F28_105_leFH18B2
2129,462.419,0.929,1.637,1.191,55.104,23538154,lightTank,6,GB20_Crusader
2145,344.413,1.276,1.192,1.371,57.535,5568486,lightTank,3,J07_Chi_Ha
2161,1621.973,1.008,1.118,0.743,50.871,242896588,mediumTank,9,Cz02_TVP_T50
2177,1680.406,0.972,0.910,0.523,51.639,132405436,heavyTank,9,S17_EMIL_1952_E2
2193,526.623,0.883,1.208,0.724,54.667,6538374,mediumTank,5,Pl12_25TP_KSUST_II
2209,1184.891,0.871,1.087,0.660,50.468,122734633,mediumTank,8,It14_P44_Pantera
2305,997.860,1.019,0.522,0.887,52.710,244056702,AT-SPG,7,R18_SU-152
2321,765.427,1.005,1.143,1.103,54.740,153683773,heavyTank,6,G15_VK3601H
2353,256.426,1.425,1.256,1.530,57.552,6467131,lightTank,2,Ch07_Vickers_MkE_Type_BT26
2369,424.638,1.594,1.012,1.599,57.634,50033143,AT-SPG,3,F27_FCM_36Pak40
2385,312.016,1.165,1.007,1.406,56.782,1218441,mediumTank,3,GB06_Vickers_Medium_Mk_III
2401,291.283,1.151,1.570,1.485,56.929,2227842,lightTank,3,J04_Ke_Ni
2417,1863.247,1.030,1.276,0.622,49.379,225459005,mediumTank,10,Cz04_T50_51
2433,2028.753,0.960,1.132,0.452,49.781,72696516,heavyTank,10,S16_Kranvagn
2449,739.344,0.921,0.777,0.724,53.359,17596010,mediumTank,6,Pl10_40TP_Habicha
2465,1645.354,1.038,1.086,0.675,50.211,170836079,mediumTank,9,It12_Prototipo_Standard_B
2561,707.204,0.938,1.336,0.973,53.944,795371048,mediumTank,6,R07_T-34-85
2577,646.194,1.018,1.206,1.103,54.815,54490562,mediumTank,5,G13_VK3001H
2593,1698.351,0.966,0.674,0.571,50.710,450784434,AT-SPG,9,A14_T30
2625,785.578,0.891,0.913,0.858,53.441,107592317,heavyTank,6,F06_ARL_44
2657,1112.580,0.815,1.140,1.016,51.144,73300462,mediumTank,8,J13_STA_1
2689,309.822,1.051,0.490,1.740,51.086,88310,AT-SPG,2,S09_L_120_TD
2705,1063.575,0.956,1.034,0.634,53.485,37554406,heavyTank,7,Pl11_45TP_Habicha
2721,1959.980,1.107,1.112,0.619,49.541,211164961,mediumTank,10,It08_Progetto_M40_mod_65
2817,817.317,1.042,1.046,0.782,53.757,730959461,heavyTank,6,R106_KV85
2833,350.693,1.168,0.167,1.334,57.131,3475270,SPG,3,G11_Bison_I
2849,1246.553,0.789,0.819,0.713,50.822,850059965,heavyTank,8,A13_T34_hvy
2865,1224.821,0.842,1.089,0.794,53.023,73515220,heavyTank,8,Ch11_110
2881,288.539,0.813,0.823,1.171,56.000,4324231,lightTank,4,F14_AMX40
2897,624.248,1.121,0.867,1.333,55.739,50290987,heavyTank,5,GB08_Churchill_I
2913,364.933,0.980,1.690,1.179,55.489,14149716,lightTank,4,J06_Ke_Ho
2929,2214.043,0.981,1.122,0.459,49.723,30730092,heavyTank,10,Cz17_Vz_55
2945,399.291,1.361,0.565,1.464,56.102,2452782,AT-SPG,3,S20_Ikv_72
2961,1295.386,0.829,0.963,0.518,51.634,57687924,heavyTank,8,Pl13_53TP_Markowskiego
2977,1983.177,0.952,0.916,0.443,49.356,11282223,heavyTank,10,It15_Rinoceronte
3073,283.197,1.083,1.362,1.217,56.119,14345464,lightTank,3,R22_T-46
3089,228.292,1.621,1.790,1.611,57.736,34093716,lightTank,1,G12_Ltraktor
3105,361.310,1.035,0.843,1.054,55.266,8474628,mediumTank,4,A04_M3_Grant
3121,342.239,0.917,2.269,1.116,55.409,25197404,lightTank,4,Ch09_M5
3137,1305.631,0.998,0.900,0.964,51.347,275086115,heavyTank,8,F08_AMX_50_100
3153,1009.555,0.938,0.836,1.242,55.058,49558399,heavyTank,7,GB10_Black_Prince
3169,246.871,1.163,1.201,1.522,55.942,5879136,lightTank,2,J02_Te_Ke
3185,1733.817,0.873,1.102,0.474,51.553,28500189,heavyTank,9,Cz16_TNH_T_vz51
3201,454.002,1.164,0.634,1.363,55.278,1729648,AT-SPG,4,S19_Sav_M43
3217,1644.138,0.877,0.938,0.434,52.032,64711111,heavyTank,9,Pl05_50TP_Tyszkiewicza
3233,1063.846,0.891,0.992,0.684,53.564,9816899,heavyTank,7,It16_Carro_d_assalto_P88
3329,218.955,1.636,1.211,1.672,57.399,40281791,lightTank,1,R11_MS-1
3345,336.687,1.322,1.285,1.517,58.182,26718571,lightTank,3,G08_Pz38t
3361,622.524,1.136,1.136,1.181,55.474,75092954,heavyTank,5,A09_T1_hvy
3377,697.962,0.695,2.312,0.711,52.022,75888936,lightTank,7,Ch16_WZ_131
3393,388.761,1.082,0.139,1.882,52.215,8578111,SPG,3,F21_Lorraine39_L_AM
3409,287.590,1.084,0.124,1.606,55.603,1053970,SPG,3,GB27_Sexton
3425,1537.853,0.917,1.118,0.782,50.341,80983903,mediumTank,9,J14_Type_61
3441,1274.227,0.758,1.018,0.555,51.291,11962467,heavyTank,8,Cz18_TNH_105_1000
3457,531.151,1.071,0.829,1.057,55.006,9110955,AT-SPG,5,S14_Ikv_103
3473,2062.467,0.924,0.936,0.343,50.450,92223757,heavyTank,10,Pl15_60TP_Lewandowskiego
3489,1610.589,0.902,0.976,0.469,51.106,28029007,heavyTank,9,It19_Progetto_C50_mod_66
3585,785.349,1.084,0.727,1.046,53.264,502701454,AT-SPG,6,R17_SU-100
3601,302.161,1.746,0.896,1.708,58.270,16385063,AT-SPG,2,G21_PanzerJager_I
3617,472.616,0.874,0.116,1.742,49.632,41943413,SPG,3,A16_M7_Priest
3633,1064.364,0.994,1.077,0.801,54.292,118067719,heavyTank,7,Ch10_IS2
3649,1767.305,1.067,1.678,0.776,48.788,612248518,mediumTank,10,F18_Bat_Chatillon25t
3665,735.397,0.948,1.016,1.075,52.859,17623169,mediumTank,6,GB19_Sherman_Firefly
3681,1874.116,0.960,1.314,0.664,50.155,110957981,mediumTank,10,J16_ST_B1
3697,1135.330,0.914,0.928,0.604,53.593,7380147,heavyTank,7,Cz19_Vz_44_1
3713,767.541,0.956,0.604,1.043,53.000,66664217,AT-SPG,6,S08_Ikv_65_Alt_2
3729,642.697,0.879,1.318,0.825,53.180,2535956,mediumTank,5,Pl17_DS_PZlnz
3745,1359.443,0.885,1.015,0.505,51.468,32550759,heavyTank,8,It17_Progetto_CC55_mod_54
3841,214.199,1.238,0.122,1.434,54.576,12359977,SPG,2,R16_SU-18
3857,1035.779,1.003,0.683,1.050,53.058,228786751,AT-SPG,7,G18_JagdPanther
3873,1128.597,0.992,1.071,0.972,54.001,522427056,heavyTank,7,A11_T29
3889,836.859,0.658,2.486,0.649,51.689,95462825,lightTank,8,Ch17_WZ131_1_WZ132
3905,1576.292,0.955,0.852,0.778,50.300,178441683,heavyTank,9,F09_AMX_50_120
3921,1260.908,0.828,1.039,0.801,52.494,111552037,heavyTank,8,GB11_Caernarvon
3937,2001.111,0.887,0.789,0.445,50.837,73937760,heavyTank,10,J20_Type_2605
3969,974.177,0.942,0.580,1.110,52.373,38993023,AT-SPG,7,S06_Ikv_90_Typ_B_Bofors
3985,846.336,0.952,0.965,0.644,52.855,7824575,mediumTank,6,Pl18_BUGI
4097,1284.440,0.902,0.020,0.758,50.984,247159522,SPG,8,R27_SU-14
4113,889.787,0.948,1.552,1.037,53.617,50047424,mediumTank,7,G24_VK3002DB
4129,834.270,1.003,0.078,1.428,51.343,100280395,SPG,5,A18_M41
4145,1804.168,0.924,1.274,0.641,49.850,52907279,mediumTank,10,Ch19_121
4161,622.662,1.119,0.099,2.240,53.274,35987943,SPG,5,F22_AMX_105AM
4193,1514.234,0.805,0.694,0.486,51.704,104777732,heavyTank,9,J25_Type_4
4225,1339.180,0.914,0.568,0.912,50.477,146331696,AT-SPG,8,S21_UDES_03
4241,1000.721,0.885,1.289,0.651,53.095,13538372,mediumTank,7,Pl20_CS_44
4353,1056.493,0.819,1.424,0.885,51.996,326655521,mediumTank,8,R20_T-44
4369,377.987,1.026,1.878,1.114,57.210,6452308,mediumTank,4,G10_PzIII_AusfJ
4385,1237.845,0.867,1.163,0.948,52.404,198476487,heavyTank,8,A12_T32
4401,327.975,1.278,1.203,1.463,57.514,10522519,lightTank,3,Ch08_Type97_Chi_Ha
4417,490.063,1.003,1.153,1.033,54.330,7539024,mediumTank,5,F11_Renault_G1R
4433,1630.242,0.850,1.027,0.602,51.475,209229549,heavyTank,9,GB12_Conqueror
4449,377.803,1.086,0.725,1.094,54.049,2337609,heavyTank,4,J22_Type_95
4481,1701.417,0.973,0.566,0.896,50.630,142059291,AT-SPG,9,S10_Strv_103_0_Series
4497,1108.205,0.757,0.998,0.675,50.012,8296082,mediumTank,8,Pl23_CS_53
4609,239.707,1.384,1.081,1.838,57.305,18141429,lightTank,2,R09_T-26
4625,404.075,1.017,0.167,1.631,53.890,13970245,SPG,4,G22_Sturmpanzer_II
4641,389.429,1.013,0.127,1.577,53.576,20533173,SPG,4,A17_M37
4657,485.940,0.997,1.383,1.156,54.275,96976289,mediumTank,5,Ch21_T34
4673,923.381,1.037,0.076,1.481,52.663,187580617,SPG,6,F23_AMX_13F3AM
4689,764.395,0.984,0.733,1.209,54.555,41810334,heavyTank,6,GB09_Churchill_VII
4705,353.112,1.157,0.719,1.078,54.388,549325,heavyTank,3,J21_Type_91
4737,2040.763,1.023,0.608,0.836,50.457,88621093,AT-SPG,10,S11_Strv_103B
4865,543.946,0.958,0.099,1.434,50.719,124440057,SPG,4,R14_SU-5
4881,355.620,1.219,1.785,1.225,57.279,18162316,lightTank,3,G102_Pz_III
4897,322.771,1.300,1.413,1.215,56.758,20329491,mediumTank,3,A25_M2_med
4913,500.219,0.728,2.389,0.770,52.605,40372617,lightTank,6,Ch15_59_16
4929,971.614,0.756,2.311,0.715,51.241,254130784,lightTank,9,F17_AMX_13_90
4945,348.805,0.875,0.783,1.373,55.165,14493525,lightTank,3,GB04_Valentine
4961,1254.461,0.797,0.743,0.650,52.594,116745207,heavyTank,8,J27_O_I_120
4993,1212.317,0.849,1.194,0.664,51.285,52133708,mediumTank,8,S29_UDES_14_5
5121,294.353,1.642,0.436,1.782,58.464,6853907,AT-SPG,2,R10_AT-1
5137,1240.509,0.837,0.958,0.900,51.805,366277518,heavyTank,8,G16_PzVIB_Tiger_II
5153,294.078,0.846,2.301,1.083,56.403,3361900,lightTank,4,A22_M5_Stuart
5169,688.121,0.957,1.472,1.056,54.078,108216407,mediumTank,6,Ch20_Type58
5185,680.314,0.751,2.154,0.819,52.151,176281442,lightTank,7,F16_AMX_13_75
5201,253.200,1.426,1.254,1.456,57.168,3791036,lightTank,1,GB03_Cruiser_Mk_I
5217,1090.422,0.951,0.971,0.649,54.903,185013585,heavyTank,7,J28_O_I_100
5249,1537.096,0.896,1.157,0.673,50.751,39223204,mediumTank,9,S27_UDES_16
5265,1889.870,0.954,1.572,0.653,50.742,11300013,mediumTank,10,Pl21_CS_63
5377,1266.277,0.881,1.007,0.802,51.600,1583441493,heavyTank,8,R19_IS-3
5393,397.693,0.695,2.307,0.747,53.832,52120028,lightTank,5,G26_VK1602
5409,378.538,0.793,1.930,0.938,53.726,37650028,lightTank,5,A23_M7_med
5425,1807.104,0.857,1.335,0.557,49.892,28505557,heavyTank,10,Ch22_113
5457,873.798,0.928,1.613,1.086,53.082,70191204,mediumTank,7,GB22_Comet
5473,830.127,1.042,0.798,0.651,54.281,275771905,heavyTank,6,J24_Mi_To_130_tons
5505,1891.367,0.959,1.136,0.594,50.456,22781778,mediumTank,10,S28_UDES_15_16
5633,970.467,1.034,0.066,1.191,51.197,243504291,SPG,6,R26_SU-8
5649,633.638,1.079,0.102,1.582,52.942,214951716,SPG,5,G23_Grille
5665,236.938,1.333,1.547,1.499,57.448,5936523,mediumTank,2,A24_T2_med
5681,1034.462,0.684,2.475,0.620,50.227,15201516,lightTank,9,Ch28_WZ_132A
5697,1418.691,0.986,1.400,0.889,50.748,224694168,mediumTank,9,F75_Char_de_25t
5713,1513.955,0.866,1.234,0.800,50.838,102510870,mediumTank,9,GB24_Centurion_Mk3
5729,704.523,1.264,1.148,0.854,54.878,104009836,heavyTank,5,J23_Mi_To
5889,1074.068,0.990,0.827,0.815,53.852,172868691,heavyTank,7,R39_KV-3
5905,357.916,1.004,0.150,1.612,52.085,8315375,SPG,3,G19_Wespe
5921,1109.942,0.828,1.394,1.030,52.021,72764835,mediumTank,8,A35_Pershing
5937,1293.197,0.725,2.601,0.586,48.911,5496819,lightTank,10,Ch29_Type_62C_prot
5953,291.811,1.070,0.887,1.622,57.112,493681,lightTank,3,F13_AMX38
5969,1101.619,0.775,1.252,0.928,52.545,74437448,mediumTank,8,GB23_Centurion
5985,256.381,1.452,1.167,1.224,57.397,1022232,mediumTank,2,J26_Type_89
6145,1857.154,0.877,1.082,0.656,49.517,211497030,heavyTank,10,R90_IS_4M
6161,348.848,0.885,2.539,1.105,56.061,74573548,lightTank,4,G25_PzII_Luchs
6177,279.485,1.847,1.068,1.600,56.847,82872322,AT-SPG,2,A46_T3
6193,1937.029,0.884,1.237,0.475,49.343,33037512,heavyTank,10,Ch41_WZ_111_5A
6209,1910.240,0.995,0.943,0.666,48.506,181912836,heavyTank,10,F10_AMX_50B
6225,1844.481,0.865,1.033,0.635,49.073,50042626,heavyTank,10,GB13_FV215b
6401,386.944,1.416,0.775,1.630,56.887,10444606,AT-SPG,4,R24_SU-76
6417,470.096,0.936,1.551,1.038,54.996,29974957,mediumTank,5,G28_PzIII_IV
6433,360.971,1.456,1.157,1.371,58.098,7347196,AT-SPG,3,A109_T56_GMC
6449,328.925,1.592,0.432,1.328,59.004,665787,AT-SPG,2,Ch30_T-26G_FT
6465,520.850,0.682,1.969,0.716,52.245,216402232,lightTank,6,F15_AMX_12t
6481,333.822,0.886,1.712,1.047,55.188,21011296,lightTank,5,GB60_Covenanter
6657,856.311,0.914,1.428,1.077,53.944,186047515,mediumTank,7,R23_T-43
6673,391.151,1.370,0.911,1.551,58.739,23913620,AT-SPG,3,G20_Marder_II
6705,402.467,1.488,0.603,1.344,56.525,1620878,AT-SPG,3,Ch31_M3G_FT
6721,644.600,1.148,0.870,1.054,55.441,52372231,heavyTank,5,F05_BDR_G1B
6913,498.451,1.307,0.819,1.409,55.986,92329589,AT-SPG,4,R25_GAZ-74b
6929,1861.717,0.886,0.836,0.577,51.737,98069345,heavyTank,10,G42_Maus
6945,580.368,1.121,0.937,1.352,54.932,67972074,AT-SPG,5,A30_M10_Wolverine
6961,576.629,1.411,0.672,1.189,56.657,13151745,AT-SPG,4,Ch32_SU-76G_FT
6977,1023.893,0.881,0.935,0.996,53.547,73061756,heavyTank,7,F07_AMX_M4_1945
6993,294.379,1.334,0.909,1.099,56.357,11397196,lightTank,2,GB69_Cruiser_Mk_II
7169,1794.181,0.852,1.242,0.580,49.580,712842300,heavyTank,10,R45_IS-7
7185,728.764,0.944,1.251,0.883,54.244,98790248,heavyTank,6,G27_VK3001P
7201,793.299,1.006,0.835,1.113,53.974,76497721,AT-SPG,6,A31_M36_Slagger
7217,604.436,1.072,0.504,0.898,54.692,5918181,AT-SPG,5,Ch33_60G_FT
7233,1098.360,0.903,0.062,1.184,51.525,177132066,SPG,7,F24_Lorraine155_50
7249,1798.943,0.904,1.332,0.687,49.474,65007567,mediumTank,10,GB86_Centurion_Action_X
7425,1389.008,1.045,0.510,0.789,50.397,656359512,AT-SPG,8,R47_ISU-152
7441,1532.845,0.843,0.919,0.614,51.741,158875634,heavyTank,9,G58_VK4502P
7457,1289.134,0.876,0.034,0.849,51.143,337786756,SPG,8,A37_M40M43
7473,795.821,1.038,0.630,0.871,53.798,26221982,AT-SPG,6,Ch34_WZ131G_FT
7489,1239.636,0.876,0.053,1.026,50.933,236891345,SPG,8,F25_Lorraine155_51
7505,329.095,1.221,1.643,1.124,56.954,24537577,lightTank,4,GB59_Cruiser_Mk_IV
7681,449.405,1.199,0.123,1.787,53.598,90241071,SPG,3,R66_SU-26
7697,1381.149,1.006,0.572,0.955,51.668,242446373,AT-SPG,8,G37_Ferdinand
7713,498.513,1.300,0.946,1.477,56.483,52117783,AT-SPG,4,A29_T40
7729,1021.835,1.074,0.612,0.869,53.482,27308904,AT-SPG,7,Ch35_T-34-2G_FT
7745,303.781,1.787,0.737,1.830,58.518,1656630,AT-SPG,2,F30_RenaultFT_AC
7761,245.961,1.388,1.761,1.288,57.082,37058352,lightTank,3,GB58_Cruiser_Mk_III
7937,1398.557,0.891,1.576,0.803,50.996,480449165,mediumTank,9,R40_T-54
7953,1731.041,1.024,0.593,0.764,51.181,310818708,AT-SPG,9,G44_JagdTiger
7969,1071.081,0.929,0.050,1.050,51.832,204382772,SPG,7,A32_M12
7985,1313.595,0.933,0.451,0.667,50.951,20406086,AT-SPG,8,Ch36_WZ111_1G_FT
8017,377.960,1.473,0.729,1.730,57.349,5615173,AT-SPG,4,GB42_Valentine_AT
8081,1567.771,0.926,1.132,0.644,50.970,17209199,mediumTank,9,Pl22_CS_59
8193,1821.589,1.113,0.598,0.773,50.465,508195817,AT-SPG,9,R53_Object_704
8209,349.941,0.930,2.248,1.210,56.795,9594132,lightTank,4,G52_Pz38_NA
8225,1355.293,0.970,0.546,0.875,52.581,85337982,AT-SPG,8,A39_T28
8241,1764.892,1.049,0.486,0.581,51.723,26737725,AT-SPG,9,Ch37_WZ111G_FT
8257,365.397,1.377,0.887,1.784,58.664,2578031,AT-SPG,3,F52_RenaultUE57
8273,279.020,1.637,1.124,1.586,58.147,2176193,AT-SPG,2,GB39_Universal_CarrierQF2
8449,1505.607,0.913,0.025,0.768,50.276,261623519,SPG,9,R51_Object_212
8465,1097.205,0.808,1.210,0.961,52.238,93710808,mediumTank,8,G64_Panther_II
8481,1622.603,0.803,0.026,0.609,49.834,123766306,SPG,10,A38_T92
8497,1990.051,0.994,0.588,0.552,50.834,2914719,AT-SPG,10,Ch38_WZ113G_FT
8529,1320.287,0.961,0.609,1.193,52.483,98851141,AT-SPG,8,GB72_AT15
8705,1626.119,0.855,0.035,0.731,49.590,369026827,SPG,10,R52_Object_261
8721,1454.627,0.873,0.031,0.721,50.437,182452556,SPG,9,G45_G_Tiger
8737,1772.723,1.057,0.564,0.550,53.342,152205194,AT-SPG,9,A40_T95
8785,545.701,1.096,0.740,1.686,56.924,44328485,AT-SPG,5,GB73_AT2
8961,842.420,0.905,1.453,1.013,54.349,55441903,mediumTank,7,R46_KV-13
8977,1129.607,0.957,0.043,0.989,51.225,511577292,SPG,7,G49_G_Panther
8993,1513.675,0.917,1.352,0.754,50.824,92662652,mediumTank,9,A63_M46_Patton
9041,447.674,1.216,1.157,1.575,56.688,10769395,AT-SPG,4,GB57_Alecto
9217,1297.328,0.974,1.086,0.796,51.919,407218843,heavyTank,8,R61_Object252
9233,1637.100,0.849,0.028,0.615,50.045,147002891,SPG,10,G61_G_E
9249,1034.646,1.018,0.754,1.115,53.293,51236077,AT-SPG,7,A64_T25_AT
9297,1975.170,1.041,0.496,0.468,49.318,108899194,AT-SPG,10,GB48_FV215b_183
9473,377.525,0.808,2.423,0.997,55.061,6503111,lightTank,5,R41_T-50
9489,1884.598,0.894,0.930,0.487,50.110,426321323,heavyTank,10,G56_E-100
9505,1524.672,0.849,1.065,0.721,50.513,254076696,heavyTank,9,A66_M103
9553,760.658,1.007,0.655,1.363,55.689,67856696,AT-SPG,6,GB74_AT8
9745,1561.381,0.874,0.972,0.704,51.558,506523157,heavyTank,9,G55_E-75
9761,401.996,0.616,2.606,0.714,53.283,80228558,lightTank,5,A34_M24_Chaffee
9793,458.417,1.268,0.559,1.188,56.322,2982261,AT-SPG,4,F32_Somua_Sau_40
9809,752.179,0.936,0.415,1.116,53.134,2146729,AT-SPG,6,GB40_Gun_Carrier_Churchill
9985,1266.216,0.912,0.816,0.879,51.328,112812647,AT-SPG,8,R58_SU-101
10001,490.807,0.631,2.399,0.642,52.442,41326533,lightTank,6,G66_VK2801
10017,703.133,0.985,1.130,1.108,54.391,75327835,mediumTank,6,A36_Sherman_Jumbo
10049,615.922,1.174,0.712,1.310,54.156,72508312,AT-SPG,5,F33_S_35CA
